Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Month,Year,Month,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total attendance,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Total Attendance over 4hrs,Patients who have waited 4-12 hs from DTA to admission
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2440,2440,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1178,1178,0,0,1,1,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1432,1432,0,0,0,0,0
0,6215,0,0,1244,4/1/2018,2018,Apr,19437,0,0,19437,2401,0,0,2401,392
0,0,0,0,0,4/1/2018,2018,Apr,0,0,588,588,0,0,13,13,13
0,1560,0,0,374,4/1/2018,2018,Apr,7567,0,2576,10143,426,0,0,426,82
51,1067,0,0,48,4/1/2018,2018,Apr,6857,0,0,6857,1182,0,0,1182,352
0,0,0,1,51,4/1/2018,2018,Apr,0,0,5864,5864,0,0,36,36,0
0,3717,0,0,830,4/1/2018,2018,Apr,11637,0,0,11637,933,0,0,933,190
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1148,1148,0,0,5,5,0
0,2168,0,0,1531,4/1/2018,2018,Apr,6536,0,4599,11135,971,0,137,1108,296
0,3202,0,0,724,4/1/2018,2018,Apr,12877,757,3113,16747,2253,0,14,2267,157
0,2307,0,0,1237,4/1/2018,2018,Apr,8887,0,1013,9900,1033,0,4,1037,554
0,0,0,0,0,4/1/2018,2018,Apr,0,0,3700,3700,0,0,0,0,0
0,831,0,0,411,4/1/2018,2018,Apr,4150,0,701,4851,275,0,0,275,11
0,0,0,0,0,4/1/2018,2018,Apr,0,0,564,564,0,0,7,7,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,2036,2036,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,1730,1730,0,0,2,2,0
0,6497,0,1220,2188,4/1/2018,2018,Apr,19105,0,3244,22349,4073,0,30,4103,1416
0,0,0,0,0,4/1/2018,2018,Apr,0,0,865,865,0,0,1,1,0
0,1607,0,0,200,4/1/2018,2018,Apr,10520,0,0,10520,597,0,0,597,68
0,0,0,0,0,4/1/2018,2018,Apr,0,0,25,25,0,0,0,0,0
0,0,0,0,0,4/1/2018,2018,Apr,0,0,4958,4958,0,0,2,2,0
0,3102,0,0,1335,4/1/2018,2018,Apr,11154,0,0,11154,1895,0,0,1895,447
0,0,0,0,0,4/1/2018,2018,Apr,0,0,766,766,0,0,0,0,0
6,3053,3,0,1068,4/1/2018,2018,Apr,9645,4137,10180,23962,3431,129,103,3663,913
0,1841,0,157,796,4/1/2018,2018,Apr,6901,0,985,7886,919,0,0,919,45
0,867,0,0,104,4/1/2018,2018,Apr,3732,0,128,3860,679,0,0,679,164
0,1387,0,0,474,4/1/2018,2018,Apr,5362,0,1143,6505,816,0,24,840,122
0,0,0,0,0,4/1/2018,2018,Apr,0,0,6434,6434,0,0,20,20,0
0,2541,0,0,460,4/1/2018,2018,Apr,7222,0,0,7222,1312,0,0,1312,518
24,4212,0,0,352,4/1/2018,2018,Apr,15414,0,6963,22377,4530,0,203,4733,1011
0,0,0,0,0,4/1/2018,2018,Apr,0,0,799,799,0,0,0,0,0
0,2160,0,0,562,4/1/2018,2018,Apr,8854,1046,0,9900,1103,0,0,1103,157
24,2007,0,406,1569,4/1/2018,2018,Apr,5981,0,6969,12950,2292,0,290,2582,792
0,0,0,0,0,4/1/2018,2018,Apr,0,0,215,215,0,0,0,0,0
